product_test_dtl_id,test_parameter_name,test_code,standard_value_type,standard_value_from,standard_value_to
128308,<p>SPECIFIC OPTICAL ROTATION</p>,ABACAVIR-SULPHATE-(HETERO)-IP-12537,alphanumeric,-32.0°, -38.0°
128285,<p>SPECIFIC OPTICAL ROTATION</p>,ABACAVIR-SULPHATE-IP-12535,alphanumeric,-32.0°, -38.0°
128675,<p>SPECIFIC OPTICAL ROTATION</p>,ACARBOSE-IP-12569,alphanumeric,+168°, +183°
128687,THICKNESS,"ACCETRAM-TABLET-(ACCENT,-SOLAN)-USP-12570",na,NULL,4.30 MM ±0.2 MM
128706,MELTING POINT,ACEBROPHYLLINE-GENERAL-12572,alphanumeric,215°, 217°
128843,<p>AVERAGE WEIGHT</p>,ACEFLEX-TH-TABLET-(ZEE)-GENERAL-12582,na,NULL,234 MG ± 7.5%
129067,<p>IDENTIFICATION B</p>,ACETYLCYSTEINE-BP-12604,alphanumeric,104°, 110°
129077,<p>SPECIFIC OPTICAL ROTATION</p>,ACETYLCYSTEINE-BP-12604,alphanumeric,+21.0°, +27.0°
129088,OPTICAL ROTATION,ACETYLCYSTEINE-USP-12605,alphanumeric,+21.0°, +27.0°
129171,AVERAGE WEIGHT OF 10 CONTAINERS,ACICLOVIR-FOR-INJECTABLE-SOLUTION-(KWALITY)-BP-12613,na,NULL,30°MG ± 10%
129236,HARDNESS,ACICLOVIR-TABLET-(KWALITY)-IP-12618,na,NULL,NLT 4.0 KG/CM²
129309,CONGEALING TEMPERATURE,ACRYSOL-K-150-GENERAL-12629,alphanumeric,5, 15°C
129539,<p>SPECIFIC OPTICAL ROTATION</p>,ADENOSINE-IP-12654,alphanumeric,-45.0°, -49.0°
129604,TENSILE STRENGTH WIDTH,ADHESIVE-PLASTER-(DRUG-CODE-R006)-GENERAL-12659,alphanumeric,NLT,11.0 GM/M²
129619,TENSILE STRENGTH WIDTH,ADHESIVE-PLASTER-7.5-X-10-(JAMMU-GOVT.)-GENERAL-12661,alphanumeric,NLT,11.0 GM/M²
129634,TENSILE STRENGTH WIDTH,ADHESIVE-PLASTER-SIZE--(AP-/-TEL)-GENERAL-12663,alphanumeric,NLT,11.0 GM/M²
129691,<p>SPECIFIC OPTICAL ROTATION</p>,ADRENALINE-BITARTRATE-IP-12670,alphanumeric,-50°, -54°
130003,HARDNESS,ALBENDAZOLE-TABLET-(KWALITY)-IP-12701,na,NULL,NLT 8.0 KG/CM²
129993,HARDNESS,ALBENDAZOLE-TABLET-(KWALITY)-USP-12700,alphanumeric,NLT,6.0 KG/CM²
130103,NET CONTENT PER BOTTLE,ALGARD-ID-50-GENERAL-12713,na,NULL,1010±10 ML
130102,<p>WEIGHT PER ML</p>,ALGARD-ID-50-GENERAL-12713,na,NULL,1.00° ±0.05
130109,NET CONTENT PER BOTTLE,ALGARD-NAHS-GENERAL-12714,na,NULL,505 ± 5 ML
130107,<p>WEIGHT PER ML</p>,ALGARD-NAHS-GENERAL-12714,na,NULL,1.00 ± 0.05
130092,NET CONTENT PER BOTTLE,ALGARD-R-82-GENERAL-12711,na,NULL,1000± 10 ML
130115,NET CONTENT PER BOTTLE,ALGARD-R-82-GENERAL-12715,na,NULL,1010±10 ML
130113,<p>WEIGHT PER ML</p>,ALGARD-R-82-GENERAL-12715,na,NULL,1.00  ± 0.05
130138,IDENTIFICATION A (OPTICAL ROTATION),ALL-RAC-ALPHA-TOCOPHEROL-GENERAL-12718,alphanumeric,-0.01°, +0.01°
130189,OPTICAL ROTATION,ALLANTOIN-(SPB-PHARMA)-GENERAL-12722,alphanumeric,-0.10°, +0.10°
130164,OPTICAL ROTATION,ALLANTOIN-BP-12720,alphanumeric,-0.1°, +0.1°
130176,OPTICAL ROTATION,ALLANTOIN-IP-12721,alphanumeric,-0.10°, +0.10°
130311,<p>SPECIFIC OPTICAL ROTATION</p>,ALPHA-ARBUTIN-GENERAL-12735,alphanumeric,+174.0°, +186.0°
130322,<p>SPECIFIC OPTICAL ROTATION</p>,ALPHA-BETA-ARTEETHER-IP-12736,alphanumeric,+100°, +120°
130344,MELTING RANGE,ALPHA-LIPOIC-ACID-USP-12738,alphanumeric,60.0°, 62.0°
130345,OPTICAL ROTATION,ALPHA-LIPOIC-ACID-USP-12738,alphanumeric,-1.0°, +1.0°
130390,BACTERIAL ENDOTOXINS,ALPOSTIN-INJECTION-(SAMARTH)-IP-12742,na,NULL,NMT 5 EU/100 µg
130379,BACTERIAL ENDOTOXINS,ALPOSTIN-INJECTION-(SAMARTH)-USP-12741,alphanumeric,NMT,5 EU/10100 µg
130427,DIAMETER,ALPRAZOLAM-TABLET-(KWALITY)-IP-12747,na,NULL,6.05 MM ±2%
130435,HARDNESS,ALPRAZOLAM-TABLET-(KWALITY)-IP-12747,alphanumeric,NLT,3.0 KG/CM²
130437,MICROBIAL LIMIT (TVC),ALPRAZOLAM-TABLET-(KWALITY)-IP-12747,alphanumeric,NMT,10°CFU/GM
130428,THICKNESS,ALPRAZOLAM-TABLET-(KWALITY)-IP-12747,na,NULL,3.30 MM ±2%
130803,AMIKACIN SULPHATE,AMIKACIN-SULPHATE-IP-12779,alphanumeric,674,786 µg(ON DRIED BASIS)
130796,<p>SPECIFIC OPTICAL ROTATION</p>,AMIKACIN-SULPHATE-IP-12779,alphanumeric,+76.0°, +84.0°
131129,HARDNESS,AMIODARONE-TABLET-(100-MG)-(KWALITY)-IP-12803,alphanumeric,NLT,4.0 KG/CM²
131147,HARDNESS,AMIODARONE-TABLET-(200-MG)-(KWALITY)-IP-12804,alphanumeric,NLT,4.0 KG/CM²
131149,MICROBIAL LIMIT (TVC),AMIODARONE-TABLET-(200-MG)-(KWALITY)-IP-12804,alphanumeric,NMT,10°CFU/GM
131161,HARDNESS,AMIODARONE-TABLET-(SAMARTH)-IP-12805,na,NULL,NLT 3.0 KG/CM²
131184,OPTICAL ROTATION,AMISULPRIDE-IP-12807,alphanumeric,-0.10°, +0.10°
58914,"Enterobacteriacae, cfu/ml",AMLA-CHATPATA-CANDY-FSSAI-5581,na,NULL,10°
58894,"Total Fungal count,cfu/ml",AMLA-CHATPATA-CANDY-FSSAI-5581,na,NULL,10°
58804,"Enterobacteriacae, cfu/ml",AMLA-JUICE-FSSAI-5573,na,NULL,Max. 10°
58768,"Total Fungal count,cfu/ml",AMLA-JUICE-FSSAI-5573,na,NULL,Max. 10°
59014,"Enterobacteriacae, cfu/ml",AMLA-KATTI-MEETHI-CANDY-FSSAI-5582,na,NULL,10°
59015,"Total Fungal count,cfu/ml",AMLA-KATTI-MEETHI-CANDY-FSSAI-5582,na,NULL,10°
59065,"Enterobacteriacae, cfu/ml",AMLA-MURABBA-FSSAI-5583,na,NULL,10°
59066,"Total Fungal count,cfu/ml",AMLA-MURABBA-FSSAI-5583,na,NULL,10°
131260,HARDNESS,AMLODINE-5-TABLET-(KWALITY)-GENERAL-12814,alphanumeric,NLT,3.0 KG/CM²
131259,MICROBIAL TEST (TVC),AMLODINE-5-TABLET-(KWALITY)-GENERAL-12814,alphanumeric,NMT,10°CFU/GM
131288,OPTICAL ROTATION,AMLODIPINE-BESYLATE-IP-12817,alphanumeric,-0.10°, +0.10°
131301,OPTICAL ROTATION,AMLODIPINE-BESYLATE-USP-12818,alphanumeric,-0.10°, +0.10°
